row_id,zone,acreage,cluster_zone,residential,full_address,geocode_score,geocode_precision,latitude,longitude
381,R5,0.83,,Y,"105 Battle Rd Circle,Princeton,NJ",0.965,range,40.335575,-74.671458
383,R5,1.15,,Y,"102 Battle Rd Circle,Princeton,NJ",3,StreetSegmentInterpolation,40.33655193,-74.66957031
384,R5,,,Y,"100 Battle Rd Circle,Princeton,NJ",3,StreetSegmentInterpolation,40.33657875,-74.66953726
385,R5,1.4,,Y,"98 Battle Rd West,Princeton,NJ",3,StreetSegmentInterpolation,40.33660557,-74.6695042
386,R5,0.65,,Y,"94 Battle Rd West,Princeton,NJ",2,Parcel,40.33550248,-74.67026739
387,R5,0.52,,Y,"90 Battle Rd West,Princeton,NJ",2,Parcel,40.3359242,-74.66974067
388,R5,0.52,,Y,"88 Battle Rd West,Princeton,NJ",2,Parcel,40.33612277,-74.66949318
389,R5,0.29,,Y,"76 Battle Rd West,Princeton,NJ",3,StreetSegmentInterpolation,40.33690054,-74.66914058
390,R5,0.52,,Y,"92 Battle Rd West,Princeton,NJ",2,Parcel,40.33572569,-74.66998849
392,R5,0.87,,Y,"93 Battle Road,Princeton,NJ",0.965,range,40.335624,-74.670453
393,R5,0.8,,Y,"97 Battle Road,Princeton,NJ",2,Parcel,40.33575341,-74.6713243
